Geo_FIPS,Geo_QName,Geo_FILEID,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_LOGRECNO,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATECE,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITSCE,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_UACP,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_VTD,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_TAZ,Geo_UGA,Geo_PUMA5,Geo_PUMA1,Geo_GEOID,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A14006_001,SE_A00001_001,SE_A03001_001,SE_A03001_002,SE_A03001_003,SE_A03001_004,SE_A03001_005,SE_A03001_006,SE_A03001_007,SE_A03001_008,SE_A04001_001,SE_A04001_002,SE_A04001_003,SE_A04001_004,SE_A04001_005,SE_A04001_006,SE_A04001_007,SE_A04001_008,SE_A04001_009,SE_A04001_010,SE_A04001_011,SE_A04001_012,SE_A04001_013,SE_A04001_014,SE_A04001_015,SE_A04001_016,SE_A04001_017,ACS21_5yr_B23008001,ACS21_5yr_B23008002,ACS21_5yr_B23008003,ACS21_5yr_B23008004,ACS21_5yr_B23008005,ACS21_5yr_B23008006,ACS21_5yr_B23008007,ACS21_5yr_B23008008,ACS21_5yr_B23008009,ACS21_5yr_B23008010,ACS21_5yr_B23008011,ACS21_5yr_B23008012,ACS21_5yr_B23008013,ACS21_5yr_B23008014,ACS21_5yr_B23008015,ACS21_5yr_B23008016,ACS21_5yr_B23008017,ACS21_5yr_B23008018,ACS21_5yr_B23008019,ACS21_5yr_B23008020,ACS21_5yr_B23008021,ACS21_5yr_B23008022,ACS21_5yr_B23008023,ACS21_5yr_B23008024,ACS21_5yr_B23008025,ACS21_5yr_B23008026,ACS21_5yr_B23008027,ACS21_5yr_B23008001s,ACS21_5yr_B23008002s,ACS21_5yr_B23008003s,ACS21_5yr_B23008004s,ACS21_5yr_B23008005s,ACS21_5yr_B23008006s,ACS21_5yr_B23008007s,ACS21_5yr_B23008008s,ACS21_5yr_B23008009s,ACS21_5yr_B23008010s,ACS21_5yr_B23008011s,ACS21_5yr_B23008012s,ACS21_5yr_B23008013s,ACS21_5yr_B23008014s,ACS21_5yr_B23008015s,ACS21_5yr_B23008016s,ACS21_5yr_B23008017s,ACS21_5yr_B23008018s,ACS21_5yr_B23008019s,ACS21_5yr_B23008020s,ACS21_5yr_B23008021s,ACS21_5yr_B23008022s,ACS21_5yr_B23008023s,ACS21_5yr_B23008024s,ACS21_5yr_B23008025s,ACS21_5yr_B23008026s,ACS21_5yr_B23008027s
"55055","Assembly District 55 (2018), Wisconsin","ACSSF","wi","620","00","0013105",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"055",,,,,,,,,,,,,,"62000US55055","Assembly District 55 (2018)",,,,34423,33458,965,71016,61524,61524,55244,1196,234,1556,0,983,2311,61524,58225,53565,1196,234,1556,0,113,1561,3299,1679,0,0,0,0,870,750,13402,4356,3211,2257,870,76,8,1145,281,229,52,864,625,239,9046,6293,4809,1290,161,33,2753,835,787,48,1918,1326,592,164.8485,102.4242,96.9697,74.54546,52.72727,66.06061,10.30303,37.57576,24.84848,24.84848,10.30303,26.06061,26.06061,10.30303,168.4848,161.8182,160,78.18182,10.30303,10.30303,110.303,76.36364,76.36364,10.30303,81.21212,81.21212,10.30303
"55056","Assembly District 56 (2018), Wisconsin","ACSSF","wi","620","00","0013106",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"056",,,,,,,,,,,,,,"62000US55056","Assembly District 56 (2018)",,,,36660,35658,1002,85042,65961,65961,58297,1259,175,3882,41,410,1897,65961,63739,57119,1209,175,3817,36,22,1361,2222,1178,50,0,65,5,388,536,15626,4617,3704,2744,927,33,0,913,442,380,62,471,417,54,11009,8831,7022,1512,206,91,2178,774,740,34,1404,1295,109,642.4243,330.303,206.0606,152.7273,118.1818,21.21212,33.93939,312.7273,126.0606,122.4242,26.66667,287.2727,189.697,222.4242,462.4243,269.697,200,124.8485,36.36364,126.0606,396.9697,193.9394,189.697,61.21212,364.2424,338.7879,215.1515
"55057","Assembly District 57 (2018), Wisconsin","ACSSF","wi","620","00","0013107",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"057",,,,,,,,,,,,,,"62000US55057","Assembly District 57 (2018)",,,,31363,30209,1154,56134,56355,56355,47465,1357,399,2358,18,1807,2951,56355,51723,45667,1241,355,2358,18,98,1986,4632,1798,116,44,0,0,1709,965,11692,4297,2786,2054,600,132,0,1511,469,450,19,1042,933,109,7395,4443,3628,546,216,53,2952,613,571,42,2339,2026,313,662.4243,292.7273,172.7273,139.3939,98.18182,39.39394,21.21212,221.2121,75.75758,75.75758,21.21212,207.2727,164.2424,173.3333,536.9697,342.4243,256.3636,206.6667,93.33334,47.27273,442.4243,197.5758,191.5152,46.66667,412.1212,392.1212,196.9697
"55058","Assembly District 58 (2018), Wisconsin","ACSSF","wi","620","00","0013108",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"058",,,,,,,,,,,,,,"62000US55058","Assembly District 58 (2018)",,,,32408,31294,1114,79130,58553,58553,55436,579,118,367,23,492,1538,58553,56649,54806,546,47,367,11,22,850,1904,630,33,71,0,12,470,688,12354,3644,2829,1826,912,91,0,815,316,301,15,499,413,86,8710,6123,4737,1202,184,0,2587,921,902,19,1666,1500,166,764.2424,413.9394,201.8182,173.9394,92.12122,21.21212,21.21212,349.0909,130.303,130.303,21.21212,321.8182,280.606,193.3333,603.0303,309.697,233.3333,163.6364,29.69697,73.93939,567.8788,138.1818,129.0909,41.81818,543.0303,467.2727,275.1515
"55059","Assembly District 59 (2018), Wisconsin","ACSSF","wi","620","00","0013109",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"059",,,,,,,,,,,,,,"62000US55059","Assembly District 59 (2018)",,,,31970,30982,988,76524,57769,57769,53407,1046,236,384,1,697,1998,57769,55529,52799,1017,175,384,0,140,1014,2240,608,29,61,0,1,557,984,11739,3050,2501,2003,486,8,4,549,137,137,0,412,375,37,8689,6626,5391,1057,123,55,2063,543,508,35,1520,1391,129,723.6364,360.606,263.0303,247.8788,123.0303,21.21212,11.51515,341.2121,75.75758,77.57576,22.42424,333.9394,217.5758,253.9394,615.1515,426.0606,269.697,189.697,115.1515,289.697,497.5757,161.2121,137.5758,90.90909,490.9091,355.7576,339.394
"55060","Assembly District 60 (2018), Wisconsin","ACSSF","wi","620","00","0013110",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"060",,,,,,,,,,,,,,"62000US55060","Assembly District 60 (2018)",,,,33497,32454,1043,82939,59303,59303,55308,674,129,757,69,514,1852,59303,57594,54664,649,129,757,69,22,1304,1709,644,25,0,0,0,492,548,12165,3729,3121,2300,778,43,0,608,121,98,23,487,440,47,8436,6841,5607,1058,133,43,1595,519,473,46,1076,1049,27,557.5757,304.8485,267.2727,214.5455,153.9394,30.90909,103.6364,229.0909,118.7879,118.7879,21.21212,229.0909,211.5152,132.7273,504.8485,373.9394,369.0909,220,115.1515,90.30303,475.1515,327.8788,326.6667,115.1515,396.9697,323.0303,238.7879
"55061","Assembly District 61 (2018), Wisconsin","ACSSF","wi","620","00","0013111",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"061",,,,,,,,,,,,,,"62000US55061","Assembly District 61 (2018)",,,,33272,31676,1596,87016,59726,59726,54950,612,104,372,79,1253,2356,59726,55483,52969,548,104,372,79,111,1300,4243,1981,64,0,0,0,1142,1056,11729,3093,1979,1437,498,19,25,1114,333,333,0,781,695,86,8636,6611,5168,1186,232,25,2025,634,539,95,1391,1333,58,423.6364,264.2424,221.8182,183.6364,131.5152,21.21212,12.72727,256.3636,60.60606,55.15152,19.39394,242.4242,173.9394,195.7576,383.0303,353.3333,311.5151,164.8485,78.18182,86.06061,347.8788,241.8182,215.7576,127.2727,364.8485,306.0606,234.5455
"55062","Assembly District 62 (2018), Wisconsin","ACSSF","wi","620","00","0013112",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"062",,,,,,,,,,,,,,"62000US55062","Assembly District 62 (2018)",,,,30306,29297,1009,76827,58638,58638,50357,2686,183,874,141,1045,3352,58638,51813,46184,2654,94,859,141,170,1711,6825,4173,32,89,15,0,875,1641,12622,4243,3098,1724,1333,17,24,1145,385,362,23,760,654,106,8379,5908,4474,1257,97,80,2471,518,486,32,1953,1754,199,524.8485,306.6667,213.3333,133.9394,152.7273,21.21212,26.06061,283.6364,141.2121,141.2121,21.21212,272.1212,225.4545,134.5455,407.2727,354.5454,302.4243,174.5455,106.0606,36.36364,373.9394,193.3333,178.7879,47.27273,378.1818,361.2121,240
"55063","Assembly District 63 (2018), Wisconsin","ACSSF","wi","620","00","0013113",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"063",,,,,,,,,,,,,,"62000US55063","Assembly District 63 (2018)",,,,31189,30069,1120,80809,59072,59072,52128,3087,250,1064,40,676,1827,59072,54516,48944,3057,116,1064,40,80,1215,4556,3184,30,134,0,0,596,612,11227,3339,2329,1776,531,22,0,1010,335,300,35,675,523,152,7888,5368,4264,941,127,36,2520,980,964,16,1540,1425,115,580,260.606,178.1818,141.2121,117.5758,23.63636,23.63636,273.3333,91.51515,91.51515,10.30303,270.9091,170.303,184.8485,459.394,336.9697,280,252.7273,39.39394,100.6061,397.5757,223.0303,215.7576,46.66667,361.8182,311.5151,297.5757
"55064","Assembly District 64 (2018), Wisconsin","ACSSF","wi","620","00","0013114",,,,,"55",,,,,,,,,,,,,,,,,,,,,,,,,"064",,,,,,,,,,,,,,"62000US55064","Assembly District 64 (2018)",,,,31703,29950,1753,69984,58759,58759,45485,5252,263,2279,0,1759,3721,58759,49883,40598,5160,58,2233,0,114,1720,8876,4887,92,205,46,0,1645,2001,12504,3740,2646,1537,998,97,14,1094,307,230,77,787,646,141,8764,6200,4500,1386,234,80,2564,507,507,0,2057,1914,143,309.0909,239.3939,273.3333,226.0606,115.7576,75.75758,47.87879,212.7273,158.7879,113.9394,112.1212,187.8788,156.3636,140,288.4849,414.5454,369.0909,238.1818,136.3636,104.8485,424.8485,267.2727,264.2424,104.8485,408.4849,359.394,216.3636
